iter	Passed	Remaining
0	1	151
1	2	133
2	3	121
3	4	109
4	5	104
5	6	102
6	7	98
7	8	98
8	9	96
9	10	95
10	11	92
11	12	92
12	13	91
13	14	90
14	15	90
15	17	89
16	18	89
17	19	89
18	21	89
19	22	90
20	23	89
21	24	88
22	26	87
23	27	86
24	28	85
25	29	84
26	30	83
27	31	82
28	33	81
29	34	80
30	35	79
31	36	78
32	37	76
33	38	75
34	39	74
35	40	72
36	41	71
37	42	70
38	44	68
39	45	67
40	46	66
41	46	64
42	47	63
43	48	62
44	49	60
45	51	59
46	52	58
47	53	58
48	54	57
49	56	56
50	57	55
51	58	54
52	59	53
53	61	52
54	62	50
55	63	49
56	64	48
57	65	47
58	66	46
59	67	45
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	78	33
70	78	32
71	79	31
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	94	12
88	95	11
89	96	10
90	97	9
91	98	8
92	99	7
93	99	6
94	100	5
95	100	4
96	101	3
97	101	2
98	102	1
99	102	0
