iter	Passed	Remaining
0	136	136093
1	136	68284
2	137	45694
3	138	34426
4	139	27695
5	139	23174
6	140	19923
7	141	17492
8	141	15592
9	142	14067
10	142	12822
11	143	11793
12	143	10921
13	144	10169
14	145	9526
15	145	8958
16	146	8459
17	146	8017
18	147	7616
19	148	7252
20	148	6933
21	149	6634
22	149	6360
23	150	6114
24	150	5886
25	151	5682
26	153	5519
27	153	5341
28	154	5170
29	154	5011
30	155	4864
31	156	4724
32	156	4592
33	157	4473
34	158	4357
35	158	4245
36	159	4140
37	159	4041
38	160	3950
39	160	3860
40	161	3775
41	161	3694
42	162	3616
43	163	3542
44	163	3472
45	164	3404
46	164	3343
47	165	3285
48	166	3231
49	167	3174
50	167	3119
51	168	3068
52	168	3017
53	169	2967
54	170	2921
55	170	2881
56	171	2836
57	171	2793
58	172	2752
59	173	2712
60	173	2673
61	174	2634
62	174	2599
63	175	2563
64	175	2527
65	176	2495
66	176	2462
67	177	2432
68	178	2405
69	179	2378
70	179	2355
71	180	2328
72	181	2302
73	181	2276
74	182	2251
75	183	2226
76	183	2201
77	184	2176
78	184	2153
79	185	2131
80	185	2108
81	186	2086
82	186	2062
83	187	2041
84	187	2021
85	188	2002
86	189	1984
87	189	1965
88	190	1945
89	190	1927
90	191	1909
91	191	1891
92	192	1875
93	193	1866
94	196	1873
95	197	1857
96	197	1840
97	198	1824
98	198	1809
99	199	1793
100	199	1778
101	200	1763
102	200	1749
103	201	1735
104	202	1722
105	202	1709
106	203	1696
107	203	1684
108	204	1671
109	204	1658
110	205	1645
111	206	1633
112	206	1624
113	208	1616
114	208	1607
115	209	1596
116	209	1584
117	210	1573
118	211	1562
119	211	1552
120	212	1542
121	212	1530
122	213	1521
123	213	1511
124	214	1501
125	215	1491
126	215	1481
127	216	1471
128	216	1463
129	217	1453
130	217	1444
131	218	1435
132	218	1426
133	219	1417
134	219	1408
135	220	1399
136	220	1391
137	221	1384
138	222	1378
139	223	1370
140	223	1362
141	223	1353
142	224	1345
143	224	1337
144	225	1329
145	226	1322
146	226	1314
147	227	1306
148	227	1299
149	228	1292
150	228	1284
151	229	1277
152	229	1270
153	229	1263
154	230	1256
155	231	1249
156	231	1243
157	232	1236
158	232	1230
159	233	1224
160	233	1217
161	234	1210
162	234	1204
163	235	1202
164	236	1197
165	237	1192
166	237	1186
167	238	1180
168	239	1175
169	239	1169
170	240	1163
171	240	1158
172	241	1153
173	241	1147
174	242	1141
175	242	1136
176	243	1131
177	243	1126
178	244	1120
179	245	1116
180	245	1111
181	246	1106
182	246	1101
183	247	1096
184	247	1091
185	248	1088
186	249	1086
187	250	1082
188	251	1077
189	251	1072
190	252	1068
191	252	1063
192	253	1059
193	253	1055
194	254	1050
195	255	1046
196	255	1042
